,lme_name,lme_number,lme_area,ks_test_pvalue,dip_test,dip_p_value,skew,mean_depth,max_depth,median_depth,center_latitude,region,skew_descriptor,hourglass,deep_dominant,shallow_dominant,mid_dominant,uniform,type,lme_name2
24,Celtic-Biscay Shelf,24,551855.9298,0,0.006579237,0,2.697341691,109.0715922,852,98,51.43180746,Atlantic,high_skew,FALSE,FALSE,TRUE,FALSE,FALSE,Shallow Dominant,Celtic-Biscay Shelf
1,East Bering Sea,1,576575.9266,0,0.013167053,0,1.525360075,81.64584058,666,65,56.88070468,Pacific,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,East Bering Sea
16,East Brazil Shelf,16,163403.2112,0,0.014791515,0,5.117448092,60.16918417,1923,28,-10.14735624,Atlantic,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,East Brazil Shelf
41,East Central Australian Shelf,41,61619.21255,0,0.018097105,0,1.302575361,71.165076,365,58,-29.11724546,Pacific,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,East Central Australian Shelf
47,East China Sea,47,564953.0645,0,0.022393143,0,0.988631428,88.75184322,522,67,29.55633526,Pacific,mod_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,East China Sea
56,East Siberian Sea,56,600141.9249,0,0.031995246,0,2.349789342,66.46340046,480,38,74.37275627,Pacific,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,East Siberian Sea
60,Faroe Plateau,60,36157.14176,0,0.026552753,0,0.328683329,176.367772,543,188,61.48852849,Atlantic,symmetric,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Faroe Plateau
19,Greenland Sea,19,476996.497,0,0.013557756,0,0.525511934,257.505936,1353,259,73.74178876,Atlantic,mod_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Greenland Sea
28,Guinea Current,28,268115.5162,0,0.022266846,0,4.335755385,53.90563002,1027,41,3.40906303,Atlantic,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Guinea Current
2,Gulf of Alaska,2,382895.174,0,0.025438339,0,0.802997506,127.8994505,637,113,54.07110345,Pacific,mod_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Gulf of Alaska
4,Gulf of California,4,67641.95642,0,0.008546786,0,1.571893736,80.8026308,483,70,26.12712119,Pacific,high_skew,FALSE,FALSE,TRUE,FALSE,FALSE,Shallow Dominant,Gulf of California
5,Gulf of Mexico,5,557029.1271,0,0.009860412,0,1.921904208,55.351416,657,40,24.97637041,Atlantic,high_skew,FALSE,FALSE,TRUE,FALSE,FALSE,Shallow Dominant,Gulf of Mexico
35,Gulf of Thailand,35,379096.935,0,0.057369502,0,-0.350084006,36.47773957,70,44,8.71225786,Pacific,symmetric,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Gulf of Thailand
62,Hudson Bay Complex,63,1195276.562,0,0.022406753,0,1.979239034,115.961022,959,101,61.21620242,Atlantic,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Hudson Bay Complex
